"","copep","chalp","motp","totp","sdtot","sdcope","sdchal","sdmot","weekly"
"2",0.276808176100629,0.32814465408805,0.0667452830188679,0.487971698113208,0.00706717807992242,0,0.00327305160899147,0.000809571769440458,2020-04-24
"3",0.377358490566038,0.622641509433962,0.0188679245283019,0.754716981132076,0.0130890150740692,0,0.00128966887913773,0,2020-05-01
"4",0.24203821656051,0.54140127388535,0.261146496815287,0.687898089171974,0.0113081418255351,0,0.00321087215708302,0.00251547441041649,2020-05-08
"5",0.734375,0.5859375,0.2421875,0.921875,0.0103175132469689,0,0.00406775427625339,0.0018985358467041,2020-05-15
"7",0.858407079646018,0.858407079646018,0.141592920353982,0.973451327433628,0.0234425180174602,0,0.00390475397049664,0.000832496343702298,2020-05-29
"8",0.673943173943174,0.701663201663202,0.239085239085239,0.831947331947332,0.159339408781082,0,0.0459913995763809,0.00222160793655888,2020-06-05
"9",0.5,0.5,0.5,0.625,1.50880969523283,0,0.267261241912424,0,2020-06-12
"10",0.432432432432432,0.189189189189189,0,0,0.0410580288078878,0,0,0,2020-06-19
"11",0.538461538461538,0.0769230769230769,0.0769230769230769,0,0.128007737590437,0,0.0213346229317396,0,2020-06-26
"13",0.923076923076923,0.0769230769230769,0.0769230769230769,0,0.0853384917269583,0,0.0426692458634792,0,2020-07-10
